CountryName,CountryCode,ENPOPDNST,ENPOPSLUMURZS,ENURBLCTYURZS,ENURBMCTY,ENURBMCTYTLZS,GBXPDRSDVGDZS,IPJRNARTCSC,NYGDPMKTPKN,NYGDPPCAPKN,NYGNPMKTPKN,NYGNPPCAPKN,SHMEDBEDSZS,SHMEDCMHWP3,SHMEDNUMWP3,SHXPDCHEXGDZS,SHXPDCHEXPCCD,SIDST10TH10,SIDST50MD,SIPOVGINI,SLUEMTOTLNEZS,SPRURTOTLZG,SPRURTOTLZS,SPURBGROW,SPURBTOTL,SPURBTOTLINZS
Colombia,COL,44.7487021180712,27.7999992370605,26.3666682749363,21794184,43.8968000864474,0.23699,7195.02,853600000000000,17192801.7831691,831581672425944,16749319.1899432,..,..,1.3309,..,..,39.7,20.4,50.4,9.11069965362549,-0.195168134279588,19.222,1.92912026786277,40105215,80.778
Comoros,COM,447.244477540227,68.4000015258789,..,..,..,..,3.28,409169000000,491599.405037954,411728612008.823,494674.671592032,..,..,..,..,..,..,..,..,..,1.98475846696456,71.035,2.8658559669186,241082,28.965
"Congo, Dem. Rep.",COD,37.0825923557045,77.5,35.2392413310837,20259574,24.0990056500748,..,148.72,12128808595600,144273.629284624,11757745441447.7,139859.788673537,..,..,1.1101,..,..,..,..,..,..,2.18782289971842,55.54,4.53982452244543,37376673,44.46
"Congo, Rep.",COG,15.3568462664715,47.7999992370605,63.5363623359297,3367302,64.2080267899076,..,66.68,1631100814400,311019.81582892,1382312032030.82,263580.540101976,..,..,0.6271,..,..,..,..,..,..,1.20979341282075,33.084,3.26700441390168,3509318,66.916
Costa Rica,CRI,97.9130630630631,3.90000009536743,34.2298205294467,1357745,27.1579362572736,..,507.41,28499535297500,5700544.38036172,26898417564592.4,5380285.0287847,..,..,3.4144,..,..,36.3,19.2,48,9.63199996948242,-2.71104464606594,20.66,1.98274148495537,3966556,79.34
Cote d'Ivoire,CIV,78.8340534591195,60.0999984741211,38.6552483035222,4920776,19.6287488538239,..,248.14,33284621932400,1327708.24074406,32191114739790.6,1284088.74240969,..,..,0.6048,..,..,..,..,..,..,1.63623051396933,49.221,3.44846173720778,12729904,50.779
Croatia,HRV,73.0493745532523,..,29.4508278691905,..,..,0.97489,4276.9,372335000000,91083.4882846528,366791990319.761,89727.514075213,..,..,..,..,..,..,..,..,8.43220043182373,-1.54174402567093,43.053,-0.400587697691305,2327904,56.947
Cuba,CUB,108.999596231494,6.59999990463257,24.4599356510304,2136468,18.843199826991,..,968.74,57025000000,5029.48544108389,..,..,..,..,7.5614,..,..,..,..,..,1.70000004768372,-0.270836715255673,22.963,0.068028841812254,8734561,77.037
Curacao,CUW,..,..,..,..,..,..,..,3815344200,23875.7459324155,..,..,..,..,..,..,..,..,..,..,13.4300003051758,0.300231172402558,10.855,-0.299297540611532,142454,89.145
Cyprus,CYP,128.708333333333,..,..,..,..,0.55859,1245.42,20677750000,23765.6711889186,19946153451.6182,22924.8213376635,..,..,..,..,..,..,..,..,8.36970043182373,0.887598613543349,33.19,0.77031383453709,794548,66.81
