CountryName,CountryCode,EN.POP.DNST,EN.POP.SLUM.UR.ZS,EN.URB.LCTY.UR.ZS,EN.URB.MCTY,EN.URB.MCTY.TL.ZS,GB.XPD.RSDV.GD.ZS,IP.JRN.ARTC.SC,NY.GDP.MKTP.KN,NY.GDP.PCAP.KN,NY.GNP.MKTP.KN,NY.GNP.PCAP.KN,SH.MED.BEDS.ZS,SH.MED.CMHW.P3,SH.MED.NUMW.P3,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SI.DST.10TH.10,SI.DST.50MD,SI.POV.GINI,SL.UEM.TOTL.NE.ZS,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
Eswatini,SWZ,..,..,..,..,..,..,..,42674175790.0717,37168.4180276377,..,..,..,..,..,..,..,..,..,..,..,0.806176738492247,76.019,1.80715336072229,275333,23.981
Ethiopia,ETH,..,..,19.3032030740633,4591983,4.09710477625862,..,..,1987157533000,17730.0147226865,1975467592208.39,17625.713569456,..,..,..,..,..,..,..,..,..,1.9947962549253,78.775,4.78027987137827,23788710,21.225
Euro area,EMU,..,..,15.7047998881049,..,19.5382384676985,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.56056748297264,-0.763578879761027,22.7823142790352,0.514878739995368,264546016,77.2176857209648
Europe & Central Asia,ECS,..,..,16.8460625484199,..,20.608857747612,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.68058545085595,-0.366935565335126,27.590851241082,0.628006627702689,665690502,72.409148758918
Europe & Central Asia (IDA & IBRD countries),TEC,..,..,17.3425753844153,..,20.9027799110118,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.79163974728594,-0.112361688187036,33.4979122177527,0.661204662443964,305248079,66.5020877822473
Europe & Central Asia (excluding high income),ECA,..,..,18.0480535581212,..,23.2066899624984,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.35843760862209,-0.0692083273742981,32.1812419709413,0.770174284305568,269654394,67.8187580290587
European Union,EUU,..,..,15.8800667120736,..,17.4720970223317,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.70548653437733,-0.678934632123202,25.2704786784899,0.452790527499602,334423609,74.7295213215101
Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.0960495262472702,57.775,0.752066835271066,20554,42.225
Fiji,FJI,..,..,..,..,..,..,..,10848780000,12190.2842060199,..,..,..,..,..,..,..,..,..,..,..,-0.424139201591551,43.25,1.61801551779692,505048,56.75
Finland,FIN,..,..,27.3958593038461,1292232,23.4086684199486,..,..,229723382200,41614.1875625191,229204851399.867,41520.2561665636,..,..,..,..,..,..,..,..,6.69469976425171,-0.351994697730082,14.554,0.161720287217457,4716888,85.446
Fragile and conflict affected situations,FCS,..,..,25.265282750787,..,17.846318810172,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.45424011166074,55.0499314301963,3.28650858316983,357957325,44.9500685698037
France,FRA,..,..,20.2466849621542,15324817,22.8524348691491,..,..,2349113831300,35030.0893185221,..,..,..,..,..,..,..,..,..,..,8.44340038299561,-1.2241140298587,19.291,0.469114617997402,54123364,80.709
