CountryCode,SH.MED.CMHW.P3,SH.XPD.CHEX.GD.ZS,SH.XPD.CHEX.PC.CD,SH.MED.BEDS.ZS,SH.MED.NUMW.P3
TUN,..,7.23245739936829,250.562225341797,..,2.5136
TUR,..,4.21630293130875,444.653686523438,..,2.7107
TKM,..,6.93044811487198,456.482666015625,..,..
TCA,..,..,..,..,..
TUV,..,17.1425551176071,622.176696777344,..,..
UGA,..,6.18775598704815,38.426441192627,..,1.4686
UKR,..,6.99532032012939,177.408889770508,..,..
ARE,..,3.33428233861923,1357.01745605469,..,5.6829
GBR,..,9.63169410824776,3858.67431640625,..,8.2245
USA,..,17.0612692832947,10246.138671875,..,14.548
UMC,..,5.71928376361975,459.918042262602,..,..
URY,..,9.29621160030365,1591.533203125,..,1.9412
UZB,..,6.41438513994217,98.824577331543,..,..
VUT,..,3.31685319542885,105.666526794434,..,..
VEN,..,1.18121011182666,94.229377746582,..,..
VNM,..,5.53212836384773,129.575958251953,..,..
VIR,..,..,..,..,..
PSE,..,..,..,..,..
WLD,..,9.88382954164874,1061.14674489701,..,..
YEM,..,..,..,..,0.7682
ZMB,..,4.47034128010273,67.6486663818359,..,1.2988
ZWE,..,6.63591623306274,110.149620056152,..,2.5972
